title,price,link
"Kia Sportage 2.0 AT, 2016, 84 452 км, с пробегом, цена 1 250 000 руб. - Автомобили в Москве",1 250 000 ₽,https://www.avito.ru/moskva/avtomobili/kia_sportage_2.0_at_2016_84_452_km_3293860907
"Lexus LX 4.5 AT, 2016, 158 430 км, с пробегом, цена 6 195 000 руб. - Автомобили в Москве",6 195 000 ₽,https://www.avito.ru/moskva/avtomobili/lexus_lx_4.5_at_2016_158_430_km_3942738334
"BMW 5 серия 2.0 AT, 2022, 8 700 км, с пробегом, цена 6 700 000 руб. - Автомобили в Москве",6 700 000 ₽,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2022_8_700_km_4129906435
"BMW X3 2.0 AT, 2019, 68 870 км, с пробегом, цена 3 000 000 руб. - Автомобили в Москве",3 000 000 ₽,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2019_68_870_km_4162536581
"Mazda CX-5 2.5 AT, 2013, 93 000 км, с пробегом, цена 1 249 000 руб. - Автомобили в Москве",1 249 000 ₽,https://www.avito.ru/moskva/avtomobili/mazda_cx-5_2.5_at_2013_93_000_km_3822668154
"Land Rover Range Rover 4.4 AT, 2005, 218 300 км, с пробегом, цена 1 270 000 руб. - Автомобили в Москве",1 270 000 ₽,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_4.4_at_2005_218_300_km_3765469422
"Mazda 6 2.0 AT, 2014, 144 629 км, с пробегом, цена 1 199 000 руб. - Автомобили в Москве",1 199 000 ₽,https://www.avito.ru/moskva/avtomobili/mazda_6_2.0_at_2014_144_629_km_4024148200
"Ford Focus 2.0 AT, 2010, 158 411 км, с пробегом, цена 599 000 руб. - Автомобили в Москве",599 000 ₽,https://www.avito.ru/moskva/avtomobili/ford_focus_2.0_at_2010_158_411_km_4055947080
"Peugeot 3008 1.6 AT, 2014, 128 000 км, с пробегом, цена 889 000 руб. - Автомобили в Москве",889 000 ₽,https://www.avito.ru/moskva/avtomobili/peugeot_3008_1.6_at_2014_128_000_km_3542910899
"BMW 3 серия 2.0 AT, 2018, 97 124 км, с пробегом, цена 2 049 000 руб. - Автомобили в Москве",2 049 000 ₽,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2018_97_124_km_4082795059
"Mercedes-Benz E-класс 3.5 AT, 2012, 159 000 км, с пробегом, цена 1 449 000 руб. - Автомобили в Москве",1 449 000 ₽,https://www.avito.ru/moskva/avtomobili/mercedes-benz_e-klass_3.5_at_2012_159_000_km_3886997077
