,title,year,age,run,owners_pts,modification,volume,engine_type,transmission,gear,body,color,exchange,mark,other_history,tech_history,sold,subway,pts_type,price,horse_power,price_log
1011,Hyundai H-1 2.5 AT,2013,II,143275,2,2.5 CRDi AT,2.5,1,Автомат,Задний,Minivan,Синий,другое,ниже,2,2,1,Пражская:до 5 мин.;Южная:16–20 мин.;Улица академика Янгеля:21–30 мин.,Оригинал,1249000,170,14.037854589747907
1012,Vortex Tingo 1.9 MT,2011,I,161501,2,1.8 MT,1.9,0,Механика,Передний,Внедорожник,Серебряный,другое,соответствует,2,5,1,,Другое,345000,132,12.751302594560022
1013,Ford Explorer 3.5 AT,2014,V,143000,3,3.5 4WD AT,3.5,0,Автомат,Полный,Внедорожник,Белый,другое,ниже,3,19,2,Новохохловская:11–15 мин.;Нижегородская:16–20 мин.;Волгоградский проспект:от 31 мин.,Другое,1350000,294,14.115615891155079
1014,Porsche Cayenne S 2.9 AT,2019,III,61000,1,2.9 4WD AT,2.9,0,Автомат,Полный,Внедорожник,Чёрный,Не интересует,ниже,2,3,1,Братиславская:21–30 мин.;Марьино:21–30 мин.;Алма-Атинская:от 31 мин.,Электронный,7399000,440,15.816855549061078
1015,Kia Rio 1.6 AT,2021,IV рестайлинг,137455,2,1.6 AT,1.6,0,Автомат,Передний,Седан,Другой,другое,ниже,2,5,2,Лианозово:16–20 мин.;Яхромская:21–30 мин.;Селигерская:от 31 мин.,Оригинал,950000,123,13.76421831620775
1016,Mercedes-Benz CLS-класс 4.7 AT,2011,C218/X218,102799,1,CLS 500 4.7 AT,4.7,0,Автомат,Задний,Седан,Чёрный,другое,выше,2,1,2,Терехово:от 31 мин.;Крылатское:от 31 мин.;Молодёжная:от 31 мин.,Оригинал,2600000,408,14.771022387607022
1017,Nissan Qashqai 1.2 MT,2015,II,168000,2,1.2 DIG-T MT,1.2,0,Механика,Передний,Внедорожник,Красный,другое,выше,2,27,3,Автозаводская:6–10 мин.;Дубровка:6–10 мин.;Кожуховская:16–20 мин.,Оригинал,1380000,115,14.137594781770805
1018,Volkswagen Passat CC 1.8 MT,2011,B6,170000,2,1.8 TSI MT,1.8,0,Механика,Передний,Седан,Чёрный,Возможен,ниже,2,5,8,Кантемировская:21–30 мин.;Каширская:21–30 мин.;Царицыно:от 31 мин.,Другое,799000,152,13.591117476312084
1019,Hyundai Getz 1.3 AT,2004,I,99700,4+,1.3 AT,1.3,0,Автомат,Передний,Хэтчбек,Серебряный,Не интересует,соответствует,6,5,1,Выхино:11–15 мин.;Рязанский проспект:от 31 мин.;Юго-Восточная:от 31 мин.,Дубликат,390000,82,12.873904582205107
1020,Kia Sorento 2.4 AT,2012,II рестайлинг,143000,1,2.4 4WD AT,2.4,0,Автомат,Полный,Внедорожник,Белый,другое,ниже,1,8,1,Бульвар Дмитрия Донского:11–15 мин.;Улица Старокачаловская:11–15 мин.;Лесопарковая:21–30 мин.,Оригинал,1049000,175,13.863348840666827
1021,Skoda Octavia RS 2.0 AMT,2012,II рестайлинг,198500,4+,2.0 TSI DSG,2.0,0,Робот,Передний,Хэтчбек,Синий,Не интересует,ниже,7,22,2,Царицыно:от 31 мин.,Дубликат,1070000,200,13.883170141017091
1022,BMW X3 2.0 AT,2019,G01,54247,1,30i 2.0 xDrive Steptronic,2.0,0,Автомат,Полный,Внедорожник,Серебряный,Не интересует,нет оценки,2,5,2,Шелепиха:11–15 мин.;Фили:21–30 мин.;Деловой центр (МЦК):21–30 мин.,Другое,3750000,249,15.137266664613225
1023,SsangYong Actyon 2.0 MT,2015,II рестайлинг,166000,2,2.0 MT,2.0,0,Механика,Передний,Внедорожник,Серебряный,Не интересует,нет оценки,2,1,1,Косино:11–15 мин.;Лермонтовский проспект:11–15 мин.;Улица Дмитриевского:21–30 мин.,Оригинал,495005,149,13.112325162689487
1024,Ford Focus 1.6 MT,2006,II,250000,4+,1.6 MT,1.6,0,Механика,Передний,Седан,Чёрный,Не интересует,ниже,2,5,2,Строгино:21–30 мин.;Крылатское:от 31 мин.;Мякинино:от 31 мин.,Дубликат,290000,100,12.577639650232575
1025,Nissan Tiida 1.6 MT,2008,C11,212000,2,1.6 MT,1.6,0,Механика,Передний,Седан,Чёрный,Не интересует,выше,2,5,1,Новогиреево:до 5 мин.;Перово:21–30 мин.;Новокосино:от 31 мин.,Оригинал,615000,110,13.329379172803593
1026,Kia Optima 2.0 AT,2019,IV рестайлинг,148906,1,2.0 T-GDI AT,2.0,0,Автомат,Передний,Седан,Белый,другое,ниже,1,5,2,Марьина Роща:11–15 мин.;Савёловская:11–15 мин.;Менделеевская:11–15 мин.,Оригинал,1005000,245,13.820499094499695
1027,Hyundai Solaris 1.6 AT,2018,II,33100,1,1.6 AT,1.6,0,Автомат,Передний,Седан,Серебряный,Не интересует,выше,1,8,2,Площадь Ильича:16–20 мин.;Римская:16–20 мин.;Курская:21–30 мин.,Оригинал,1550000,123,14.253766134056512
1028,Skoda Octavia 1.6 AT,2017,III рестайлинг,197225,2,1.6 MPI AT,1.6,0,Автомат,Передний,Хэтчбек,Белый,другое,выше,2,1,1,,Другое,950000,110,13.76421831620775
1029,Hyundai Tucson 2.0 AT,2018,III,118000,1,2.0 4WD AT,2.0,0,Автомат,Полный,Внедорожник,Белый,Возможен,выше,1,16,2,Южная:6–10 мин.;Пражская:6–10 мин.;Улица академика Янгеля:от 31 мин.,Другое,1849000,150,14.430156051201998
1030,Skoda Octavia 1.4 AT,2020,IV,50234,2,1.4 TSI AT,1.4,0,Автомат,Передний,Хэтчбек,Серебряный,Возможен,соответствует,2,6,4,Новокосино:до 5 мин.;Новогиреево:от 31 мин.;Улица Дмитриевского:от 31 мин.,Электронный,2499999,150,14.731801289838428
1031,Opel Astra 1.6 AMT,2006,H,223321,1,1.6 AMT,1.6,0,Робот,Передний,Хэтчбек,Серебряный,другое,соответствует,1,5,1,Семёновская:до 5 мин.;Электрозаводская:6–10 мин.;Преображенская площадь:11–15 мин.,Оригинал,475000,105,13.07107218827772
1032,Nissan Pathfinder 2.5 AT,2007,III,177000,2,2.5 Cdi 4WD AT,2.5,1,Автомат,Полный,Внедорожник,Чёрный,Возможен,соответствует,2,1,2,Варшавская:до 5 мин.;Каховская:16–20 мин.;Чертановская:21–30 мин.,Другое,959000,174,13.773647396617898
1033,Kia Rio 1.6 AT,2021,IV рестайлинг,52606,1,1.6 AT,2.141281138790036,0,Автомат,Передний,Седан,Белый,другое,ниже,2,3,2,Зябликово:11–15 мин.;Красногвардейская:16–20 мин.;Домодедовская:16–20 мин.,Оригинал,1045000,123,13.85952840031839
1034,Volkswagen Passat 1.8 AMT,2012,B7,151000,1,1.8 TSI DSG (152 л.с),1.8,0,Робот,Передний,Седан,Коричневый,Возможен,ниже,1,16,2,Лианозово:до 5 мин.;Яхромская:21–30 мин.;Физтех:от 31 мин.,Другое,845000,168,13.647093089770562
1035,BMW X6 3.0 AT,2010,E71,200000,4+,30d 3.0 AT,3.0,1,Автомат,Полный,Внедорожник,Чёрный,Не интересует,выше,5,5,5,Аннино:от 31 мин.;Улица академика Янгеля:от 31 мин.;Царицыно:от 31 мин.,Оригинал,2230000,245,14.617512591866696
1036,Nissan X-Trail 2.0 MT,2010,II рестайлинг,176000,2,2.0 4WD MT,2.0,0,Механика,Полный,Внедорожник,Серебряный,Возможен,ниже,2,10,2,Царицыно:от 31 мин.;Пражская:от 31 мин.;Кантемировская:от 31 мин.,Другое,1035000,141,13.849912950864715
1037,Subaru Levorg 1.8 CVT,2020,II,56000,1,1.8 4WD CVT,1.8,0,Вариатор,Полный,Универсал,Белый,другое,нет оценки,2,5,2,Автозаводская:6–10 мин.;ЗИЛ:21–30 мин.;Дубровка:21–30 мин.,Электронный,1330000,177,14.100690252077353
1038,Renault Kaptur 2.0 MT,2018,I,131000,2,2.0 4WD MT,2.0,0,Механика,Полный,Внедорожник,Серый,Возможен,ниже,2,1,1,Козья Слобода:21–30 мин.;Яшьлек:21–30 мин.;Северный вокзал:от 31 мин.,Другое,1060000,143,13.87378040948403
