,title,year,age,run,owners_pts,modification,volume,engine_type,transmission,gear,body,color,exchange,mark,other_history,tech_history,sold,subway,pts_type,price,horse_power,price_log
0,Kia K900 3.3 AT,2019,II,91037,2,3.3 4WD AT,3.3,0,Автомат,Полный,Седан,Чёрный,Возможен,соответствует,2,4,1,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,2999000,249,14.91378979117557
1,Mercedes-Benz V-класс 2.1 AT,2017,W447,95250,2,V 250 d 2.1 4MATIC AT L3,2.1,1,Автомат,Полный,Minivan,Чёрный,Не интересует,соответствует,2,19,2,Проспект Вернадского:до 5 мин.;Новаторская:16–20 мин.;Мичуринский проспект:21–30 мин.,Оригинал,5650000,190,15.547166280113757
2,Opel Astra GTC 1.4 AT,2013,J рестайлинг,113000,2,1.4 Turbo AT,1.4,0,Автомат,Передний,Хэтчбек,Красный,Возможен,ниже,2,5,3,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,699000,140,13.457407451830088
3,Volkswagen Tiguan 2.0 AT,2015,I рестайлинг,165000,2,2.0 TDI 4Motion AT,2.0,1,Автомат,Полный,Внедорожник,Белый,Возможен,ниже,2,5,1,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1195000,140,13.993657580167483
4,Ford Kuga 1.5 AT,2018,II рестайлинг,103000,1,1.5 EcoBoost 4WD AT,1.5,0,Автомат,Полный,Внедорожник,Белый,другое,соответствует,1,10,1,Ховрино:до 5 мин.;Беломорская:21–30 мин.;Речной вокзал:от 31 мин.,Оригинал,1780000,150,14.392124484065862
5,Kia Ceed 1.6 AT,2015,JD рестайлинг,63000,2,1.6 AT,1.6,0,Автомат,Передний,Хэтчбек,Синий,Возможен,ниже,2,1,2,Южная:6–10 мин.;Пражская:6–10 мин.;Улица академика Янгеля:от 31 мин.,Другое,935000,130,13.74830287778897
6,Kia Sportage 2.0 AT,2012,III,155000,1,2.0 4WD AT,2.0,0,Автомат,Полный,Внедорожник,Серебряный,Возможен,ниже,2,1,2,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1065000,150,13.878486296092358
7,Kia Quoris 3.8 AT,2016,I рестайлинг 2,134000,2,3.8 AT,3.8,0,Автомат,Задний,Седан,Коричневый,Возможен,ниже,2,13,3,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,1499000,334,14.22030944419592
8,Hyundai ix35 2.0 AT,2010,I,214973,3,2.0 AT,2.0,0,Автомат,Передний,Внедорожник,Белый,Не интересует,выше,3,2,4,Народное Ополчение:6–10 мин.;Хорошёво:11–15 мин.;Хорошёвская:21–30 мин.,Оригинал,1170000,150,13.972515161474428
9,Citroen C4 1.6 AT,2011,II,136300,2,1.6 AT,1.6,0,Автомат,Передний,Хэтчбек,Коричневый,Не интересует,выше,2,1,2,Перово:16–20 мин.;Новогиреево:16–20 мин.;Рязанский проспект:от 31 мин.,Другое,755000,120,13.534474352733595
10,Kia Rio 1.6 AT,2017,IV,102000,1,1.6 AT,1.6,0,Автомат,Передний,Седан,Чёрный,Возможен,ниже,1,5,2,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1055000,123,13.869052272759154
11,Volkswagen Tiguan 1.4 AMT,2019,II,38000,1,1.4 TSI DSG,1.4,0,Робот,Передний,Внедорожник,Коричневый,Не интересует,выше,1,2,1,Юго-Восточная:11–15 мин.;Косино:21–30 мин.;Лермонтовский проспект:21–30 мин.,Электронный,2790000,150,14.841552512220423
12,Lexus LX 5.7 AT,2012,J200 рестайлинг,210000,3,LX 570 5.7 4WD AT,5.7,0,Автомат,Полный,Внедорожник,Чёрный,Не интересует,выше,2,12,2,Улица Горчакова:от 31 мин.;Бунинская аллея:от 31 мин.;Бульвар адмирала Ушакова:от 31 мин.,Оригинал,4390000,367,15.29484001284176
13,Iveco Daily 3.0 MT,2017,VI,200000,2,3.0 D MT,3.0,1,Механика,Задний,Van,Белый,Не интересует,выше,2,5,3,Улица Старокачаловская:до 5 мин.;Бульвар Дмитрия Донского:до 5 мин.;Лесопарковая:21–30 мин.,Оригинал,3600000,146,15.096444681204076
14,MINI Cooper S 2.0 AT,2014,III,110000,4+,2.0 AT,2.0,0,Автомат,Передний,Хэтчбек,Синий,Возможен,выше,4,41,4,Селигерская:до 5 мин.;Яхромская:16–20 мин.;Верхние Лихоборы:16–20 мин.,Оригинал,1750000,192,14.375126917328105
15,Toyota Land Cruiser Prado 3.0 AT,2015,150 рестайлинг,140000,1,3.0 D AT,3.0,1,Автомат,Полный,Внедорожник,Белый,Возможен,соответствует,1,27,1,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,3099000,173,14.946590359454571
16,Hyundai Grand Starex 2.5 AT,2011,I,170000,4+,2.5 CRDi AT,2.5,1,Автомат,Задний,Minivan,Чёрный,Возможен,выше,4,5,2,Южная:6–10 мин.;Пражская:6–10 мин.;Улица академика Янгеля:от 31 мин.,Другое,1620000,145,14.297937324492327
17,Nissan X-Trail 1.5 CVT,2021,IV,12409,1,1.5 4WD CVT,1.5,0,Вариатор,Полный,Внедорожник,Серый,другое,нет оценки,2,5,2,Варшавская:16–20 мин.;Нагорная:21–30 мин.;Нахимовский проспект:21–30 мин.,Другое,3450000,204,15.053885078862573
18,Mercedes-Benz M-класс 3.0 AT,2011,W164 рестайлинг,184000,4+,ML 300d 3.0 4MATIC 7G-Tronic,3.0,1,Автомат,Полный,Внедорожник,Серый,Возможен,соответствует,4,47,7,Новохохловская:11–15 мин.;Нижегородская:21–30 мин.;Волгоградский проспект:от 31 мин.,Оригинал,1450000,190,14.187074804051692
19,LiXiang L9 1.5 AT,2024,I рестайлинг,1,1,1.5hyb 4WD AT,1.5,0,Автомат,Полный,Внедорожник,Чёрный,другое,нет оценки,2,5,2,Шелепиха:6–10 мин.;Международная:11–15 мин.;Деловой центр:11–15 мин.,Оригинал,8510000,449,15.956752618058363
20,Mercedes-Benz GL-класс 3.0 AT,2013,X166,191000,3,GL 350d 3.0 4MATIC 7G-Tronic,3.0,1,Автомат,Полный,Внедорожник,Коричневый,Не интересует,выше,3,2,3,Озёрная:11–15 мин.;Аминьевская:от 31 мин.;Говорово:от 31 мин.,Оригинал,3245000,249,14.99262621628669
21,Land Rover Discovery 3.0 AT,2017,V,102000,1,3.0 TD AT,3.0,1,Автомат,Полный,Внедорожник,Серый,Возможен,нет оценки,1,5,2,Новокосино:21–30 мин.;Улица Дмитриевского:от 31 мин.;Косино:от 31 мин.,Оригинал,3700000,258,15.123843647884687
22,Kia Rio 1.6 AT,2016,III рестайлинг,73175,1,1.6 AT,1.6,0,Автомат,Передний,Седан,Серебряный,другое,ниже,1,5,1,Зябликово:21–30 мин.;Красногвардейская:21–30 мин.;Домодедовская:от 31 мин.,Другое,1050000,123,13.864301674514206
23,Infiniti FX37 3.7 AT,2011,II,285994,3,3.7 4WD AT,3.7,0,Автомат,Полный,Внедорожник,Чёрный,Возможен,выше,2,5,2,Ростокино:11–15 мин.;Ботанический сад:16–20 мин.;ВДНХ:21–30 мин.,Оригинал,1975000,333,14.496079462646346
24,BMW X6 3.0 AT,2020,G06,36500,1,40d 3.0 Steptronic,3.0,1,Автомат,Полный,Внедорожник,Белый,Не интересует,выше,1,7,2,Охотный ряд:до 5 мин.;Театральная:до 5 мин.;Площадь революции:до 5 мин.,Оригинал,10500000,340,16.166885910365842
25,Nissan Murano 3.5 CVT,2013,Z51 рестайлинг 2,187000,4+,3.5 4WD CVT,3.5,0,Вариатор,Полный,Внедорожник,Серый,Не интересует,соответствует,6,5,3,Марксистская:6–10 мин.;Таганская:6–10 мин.;Крестьянская застава:11–15 мин.,Дубликат,1420000,249,14.166168133802548
26,Volkswagen Touran 1.4 AMT,2012,II,129000,2,1.4 TSI DSG,1.4,0,Робот,Передний,Minivan,Коричневый,Возможен,ниже,2,14,3,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,899000,140,13.70903942580019
27,Kia Sportage 2.0 AT,2016,IV,84452,1,2.0 AT,2.0,0,Автомат,Передний,Внедорожник,Белый,другое,ниже,1,1,1,Зябликово:11–15 мин.;Красногвардейская:16–20 мин.;Домодедовская:16–20 мин.,Оригинал,1250000,150,14.038654909278163
28,Lexus LX 4.5 AT,2016,J200 рестайлинг 2,158430,2,LX 450d 4.5 4WD AT Arctic Trucks,4.5,1,Автомат,Полный,Внедорожник,Белый,Возможен,нет оценки,2,35,1,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,6195000,272,15.639253234465867
29,BMW 5 серия 2.0 AT,2022,G30/G31 рестайлинг,8700,1,530i 2.0 xDrive Steptronic,2.0,0,Автомат,Полный,Седан,Чёрный,Не интересует,нет оценки,2,5,2,Царицыно:от 31 мин.;Домодедовская:от 31 мин.,Электронный,6700000,249,15.717618233614914
30,BMW X3 2.0 AT,2019,G01,68870,1,30i 2.0 sDrive Steptronic,2.0,0,Автомат,Задний,Внедорожник,Белый,Не интересует,ниже,2,5,3,Царицыно:от 31 мин.;Домодедовская:от 31 мин.,Электронный,3000000,252,14.91412317996566
31,Mazda CX-5 2.5 AT,2013,I,93000,1,2.5 4WD AT,2.5,0,Автомат,Полный,Внедорожник,Чёрный,Возможен,ниже,1,5,1,Варшавская:до 5 мин.;Каховская:16–20 мин.;Чертановская:21–30 мин.,Другое,1249000,192,14.037854589747907
32,Land Rover Range Rover 4.4 AT,2005,III,218300,4+,4.4 AT,4.4,0,Автомат,Полный,Внедорожник,Чёрный,Не интересует,выше,5,1,2,Сокол:6–10 мин.;Аэропорт:11–15 мин.;Панфиловская:21–30 мин.,Оригинал,1270000,286,14.054528245836039
33,Mazda 6 2.0 AT,2014,GJ,144629,1,2.0 AT,2.0,0,Автомат,Передний,Седан,Белый,Возможен,нет оценки,1,11,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица академика Янгеля:21–30 мин.,Другое,1199000,145,13.99699926803766
34,Ford Focus 2.0 AT,2010,II рестайлинг,158411,1,2.0 AT,2.0,0,Автомат,Передний,Седан,Белый,Возможен,соответствует,1,15,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица академика Янгеля:21–30 мин.,Другое,599000,145,13.303018546545275
35,Peugeot 3008 1.6 AT,2014,I рестайлинг,128000,2,1.6 AT,1.6,0,Автомат,Передний,Внедорожник,Белый,Возможен,соответствует,2,5,1,Кантемировская:21–30 мин.;Каширская:21–30 мин.;Царицыно:от 31 мин.,Другое,889000,150,13.6978536393548
36,BMW 3 серия 2.0 AT,2018,F30/F31 рестайлинг,97124,2,330i 2.0 xDrive Steptronic,2.0,0,Автомат,Полный,Седан,Синий,Возможен,ниже,2,14,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,2049000,249,14.532862915263866
37,Mercedes-Benz E-класс 3.5 AT,2012,W212/S212/C207/A207,159000,2,E 350 3.5 4MATIC 7G-Tronic,3.5,0,Автомат,Полный,Седан,Коричневый,Возможен,соответствует,2,34,3,Варшавская:до 5 мин.;Каховская:16–20 мин.;Чертановская:21–30 мин.,Другое,1449000,306,14.186384911433706
38,Volkswagen Multivan 2.5 AT,2008,T5,189500,3,2.5 TDI AT,2.5,1,Автомат,Передний,Minivan,Серый,Не интересует,выше,2,5,2,Озёрная:11–15 мин.;Аминьевская:от 31 мин.;Говорово:от 31 мин.,Оригинал,1690000,131,14.340239678615058
39,Mercedes-Benz R-класс 3.5 AT,2010,W251 рестайлинг 2,248996,4+,R 350 3.5 4MATIC 7G-Tronic,3.5,0,Автомат,Полный,Minivan,Синий,Не интересует,выше,5,8,2,Орехово:от 31 мин.;Домодедовская:от 31 мин.,Оригинал,1490000,272,14.214287349062356
40,Daewoo Matiz 1.0 MT,2008,I рестайлинг,158000,2,1.0 MT,1.0,0,Механика,Передний,Хэтчбек,Зелёный,Не интересует,соответствует,2,5,2,Митино:6–10 мин.;Пятницкое шоссе:21–30 мин.;Волоколамская:21–30 мин.,Оригинал,212000,64,12.264346270624156
41,УАЗ Patriot 2.7 MT,2011,I,105000,3,2.7 MT,2.7,0,Механика,Полный,Внедорожник,Зелёный,Не интересует,соответствует,3,8,2,Ховрино:21–30 мин.;Беломорская:от 31 мин.;Яхромская:от 31 мин.,Оригинал,530000,128,13.180634172318978
42,Mercedes-Benz SLC-класс 2.0 AT,2019,R172,86000,1,SLC 300 2.0 9G-TRONIC,2.0,0,Автомат,Задний,Кабриолет,Другой,Возможен,нет оценки,2,5,2,Юго-Западная:11–15 мин.;Проспект Вернадского:16–20 мин.;Новаторская:21–30 мин.,Электронный,3500000,245,15.068273812173887
43,Volkswagen Polo 1.6 AT,2019,V рестайлинг,136000,1,1.6 MPI AT,1.6,0,Автомат,Передний,Седан,Чёрный,Возможен,ниже,1,1,1,Царицыно:от 31 мин.;Пражская:от 31 мин.;Кантемировская:от 31 мин.,Другое,1065000,110,13.878486296092358
44,Kia Optima 2.4 AT,2019,IV рестайлинг,69000,1,2.4 GDI AT,2.4,0,Автомат,Передний,Седан,Белый,Не интересует,ниже,1,5,2,Лесопарковая:до 5 мин.;Аннино:16–20 мин.;Улица Старокачаловская:16–20 мин.,Оригинал,1350000,188,14.115615891155079
45,LiXiang L7 1.5 AT,2023,I,1,1,1.5hyb 4WD AT,1.5,0,Автомат,Полный,Внедорожник,Серый,другое,выше,1,5,2,Шелепиха:6–10 мин.;Международная:11–15 мин.;Деловой центр:11–15 мин.,Оригинал,6590000,449,15.701064058223746
46,Toyota Corolla 1.6 CVT,2019,XII,95550,2,1.6 CVT,1.6,0,Вариатор,Передний,Седан,Чёрный,Возможен,выше,2,5,2,Домодедовская:до 5 мин.;Красногвардейская:16–20 мин.;Орехово:21–30 мин.,Оригинал,1920000,122,14.467836264837162
47,Hyundai Santa Fe 2.2 AT,2019,IV,64000,2,2.2 CRDi 4WD AT,2.2,1,Автомат,Полный,Внедорожник,Чёрный,Возможен,ниже,2,15,3,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,Другое,2649000,200,14.789693145755079
48,BMW 3 серия 2.0 AT,2013,F30/F31,133241,2,320i 2.0 AT,2.0,0,Автомат,Задний,Седан,Белый,Возможен,ниже,2,5,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,1349000,184,14.114874876479464
49,Skywell ET5 AT,2022,I,22000,2,0.0 AT,2.141281138790036,0,Автомат,Передний,Внедорожник,Серый,Не интересует,ниже,2,5,1,Крылатское:до 5 мин.;Молодёжная:21–30 мин.;Терехово:от 31 мин.,Электронный,2630000,204,14.782494784382012
50,Volkswagen Passat 1.5 AMT,2019,B8,160000,1,1.5 TSI DSG,1.5,0,Робот,Передний,Универсал,Чёрный,Не интересует,нет оценки,2,5,1,Беломорская:11–15 мин.;Ховрино:16–20 мин.;Речной вокзал:21–30 мин.,Другое,2050000,150,14.53335083891935
51,BMW X6 3.0 AT,2017,F16,102085,1,M50d 3.0 Steptronic,3.0,1,Автомат,Полный,Внедорожник,Чёрный,Возможен,ниже,1,5,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,3799000,381,15.150248695396893
52,Audi Q5 2.0 AMT,2014,I рестайлинг,120000,1,2.0 TDI quattro S tronic,2.0,1,Робот,Полный,Внедорожник,Чёрный,Не интересует,выше,2,18,2,Площадь Ильича:6–10 мин.;Римская:6–10 мин.;Марксистская:11–15 мин.,Оригинал,2400000,177,14.690979711984752
53,Volkswagen Jetta 1.4 AT,2018,VII,85000,1,1.4 TSI AT,1.4,0,Автомат,Передний,Седан,Чёрный,Не интересует,выше,1,5,2,Митино:6–10 мин.;Пятницкое шоссе:21–30 мин.;Волоколамская:21–30 мин.,Электронный,2300000,147,14.648420115681892
54,Volkswagen Polo 1.6 AT,2016,V рестайлинг,91426,2,1.6 MPI AT,1.6,0,Автомат,Передний,Седан,Белый,другое,ниже,2,1,6,Пражская:до 5 мин.;Южная:11–15 мин.;Улица академика Янгеля:21–30 мин.,Оригинал,749000,110,13.526495597611952
55,Mazda CX-7 2.3 AT,2012,I рестайлинг,142000,1,2.3 4WD AT,2.3,0,Автомат,Полный,Внедорожник,Белый,другое,ниже,1,5,2,Тульская:до 5 мин.;Шаболовская:21–30 мин.;Верхние котлы:21–30 мин.,Оригинал,799000,238,13.591117476312084
56,Porsche Boxster 2.7 AMT,2015,981,83500,1,2.7 PDK,2.7,0,Робот,Задний,Кабриолет,Чёрный,Не интересует,нет оценки,2,5,1,Шелепиха:11–15 мин.;Фили:21–30 мин.;Деловой центр (МЦК):21–30 мин.,Другое,4150000,265,15.238619133170708
57,Kia Sportage 2.0 AT,2013,III,140200,1,2.0 CRDi 4WD AT,2.0,1,Автомат,Полный,Внедорожник,Белый,другое,ниже,1,11,2,Охотный ряд:до 5 мин.;Театральная:до 5 мин.;Площадь революции:до 5 мин.,Оригинал,1039000,136,13.853770232544809
58,Volkswagen Passat 1.8 AMT,2013,B7,157000,3,1.8 TSI DSG (152 л.с),1.8,0,Робот,Передний,Седан,Коричневый,другое,соответствует,3,2,2,Свиблово:6–10 мин.;Ботанический сад:11–15 мин.;Ростокино:21–30 мин.,Оригинал,1150000,168,13.955273369904273
59,Mercedes-Benz S-класс 5.0 AT,1996,W140 рестайлинг,400000,3,S 500 5.0 AT,5.0,0,Автомат,Задний,Седан,Красный,Возможен,соответствует,2,5,3,Селигерская:6–10 мин.;Верхние Лихоборы:11–15 мин.;Яхромская:16–20 мин.,Дубликат,750000,320,13.527829818844939
60,Hyundai Sonata 2.0 AT,2018,VII рестайлинг,288888,1,2.0 AT,2.0,0,Автомат,Передний,Седан,Белый,Не интересует,нет оценки,2,1,2,Новые Черёмушки:6–10 мин.;Профсоюзная:16–20 мин.;Воронцовская:16–20 мин.,Оригинал,655000,150,13.392392041333782
61,Nissan Maxima 3.0 AT,2001,A33,217357,2,3.0 AT,3.0,0,Автомат,Передний,Седан,Серебряный,Возможен,соответствует,2,5,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,449000,200,13.014780393893405
62,Mercedes-Benz C-класс 1.8 AT,2012,W204/S204/С204 рестайлинг,176000,4+,C 180 1.8 7G-Tronic,1.8,0,Автомат,Задний,Седан,Белый,Возможен,соответствует,4,2,5,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1195000,156,13.993657580167483
63,Volkswagen Caravelle 1.9 MT,2007,T5,189325,2,1.9 TDI MT,1.9,1,Механика,Передний,Minivan,Белый,Не интересует,выше,2,5,2,Озёрная:11–15 мин.;Аминьевская:от 31 мин.;Говорово:от 31 мин.,Оригинал,1590000,105,14.279245203127033
64,Nissan Qashqai 2.0 CVT,2012,I рестайлинг,147476,2,2.0 4WD CVT,2.0,0,Вариатор,Полный,Внедорожник,Белый,Возможен,ниже,2,5,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,989000,141,13.804450621726684
65,Volvo XC70 2.0 AT,2011,II,204200,3,2.0 D3 AT,2.0,1,Автомат,Передний,Универсал,Синий,Возможен,выше,3,5,1,Солнцево:11–15 мин.;Говорово:11–15 мин.;Боровское шоссе:21–30 мин.,Оригинал,1725000,163,14.360738188157574
66,Audi A3 1.4 AMT,2018,8V рестайлинг,123300,1,35 TFSI 1.4 S tronic,1.4,0,Робот,Передний,Седан,Белый,Не интересует,выше,2,21,1,Университет:16–20 мин.;Профсоюзная:21–30 мин.;Новаторская:21–30 мин.,Оригинал,1750000,150,14.375126917328105
67,Land Rover Range Rover 4.4 AT,2014,IV,119354,1,4.4 TD AT,4.4,1,Автомат,Полный,Внедорожник,Чёрный,Возможен,выше,1,12,1,Варшавская:до 5 мин.;Каховская:16–20 мин.;Чертановская:21–30 мин.,Другое,3999000,339,15.20155513789144
68,Nissan X-Trail 2.5 CVT,2019,III рестайлинг,150000,1,2.5 4WD CVT,2.5,0,Вариатор,Полный,Внедорожник,Чёрный,Не интересует,выше,1,30,2,Орехово:21–30 мин.;Домодедовская:21–30 мин.;Борисово:21–30 мин.,Оригинал,2459000,171,14.715265727867624
69,Dodge Caravan 2.4 AT,2002,IV,340000,4+,2.4 AT,2.4,0,Автомат,Передний,Minivan,Белый,Не интересует,выше,4,1,2,Окская:до 5 мин.;Рязанский проспект:11–15 мин.;Кузьминки:21–30 мин.,Оригинал,350000,150,12.765691290604371
70,Skoda Octavia 1.6 AT,2018,III рестайлинг,156000,2,1.6 MPI AT,1.6,0,Автомат,Передний,Хэтчбек,Серый,другое,ниже,2,12,6,Рассказовка:11–15 мин.;Новопеределкино:11–15 мин.;Боровское шоссе:от 31 мин.,Оригинал,1140000,110,13.946539697563276
71,Kia K5 2.5 AT,2021,III,58130,1,2.5 GDI AT,2.5,0,Автомат,Передний,Седан,Синий,Возможен,ниже,1,4,1,Рассказовка:11–15 мин.;Новопеределкино:11–15 мин.;Боровское шоссе:от 31 мин.,Другое,2450000,194,14.711598990684093
72,Audi Q7 4.2 AT,2007,4L,229000,3,4.2 FSI quattro Tiptronic,4.2,0,Автомат,Полный,Внедорожник,Серый,Не интересует,выше,2,5,8,Рассказовка:до 5 мин.;Новопеределкино:16–20 мин.;Пыхтино:от 31 мин.,Дубликат,1100000,350,13.910821646859095
73,Honda Accord 1.5 CVT,2018,X,84000,1,1.5 CVT,1.5,0,Вариатор,Передний,Седан,Красный,Не интересует,нет оценки,2,5,2,Улица академика Янгеля:от 31 мин.;Аннино:от 31 мин.;Царицыно:от 31 мин.,Электронный,2049000,192,14.532862915263866
74,BMW X5 3.0 AT,2019,G05,70000,1,40i 3.0 xDrive Steptronic,3.0,0,Автомат,Полный,Внедорожник,Чёрный,Не интересует,нет оценки,2,5,2,Коломенская:до 5 мин.;Кленовый бульвар:11–15 мин.;Технопарк:21–30 мин.,Электронный,6450000,340,15.679590843810702
75,Kia Carens 2.0 AT,2009,II,205000,4+,2.0 AT,2.0,0,Автомат,Передний,Minivan,Коричневый,Не интересует,выше,5,1,3,Говорово:11–15 мин.;Солнцево:16–20 мин.;Боровское шоссе:21–30 мин.,Оригинал,815000,145,13.610944619216113
76,Kia Optima 2.4 AT,2013,III,162000,3,2.4 AT,2.4,0,Автомат,Передний,Седан,Белый,Возможен,соответствует,3,2,3,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,Другое,1295000,180,14.07402202531625
77,Skoda Octavia 1.8 AMT,2017,III,134000,1,1.8 TSI DSG,1.8,0,Робот,Передний,Хэтчбек,Серый,другое,ниже,1,9,2,Тульская:до 5 мин.;Шаболовская:21–30 мин.;Верхние котлы:21–30 мин.,Оригинал,1049000,180,13.863348840666827
78,Volkswagen Tiguan 2.0 AT,2014,I рестайлинг,120561,1,2.0 TSI 4Motion AT,2.0,0,Автомат,Полный,Внедорожник,Чёрный,Возможен,соответствует,1,5,2,Варшавская:до 5 мин.;Каховская:16–20 мин.;Чертановская:21–30 мин.,Другое,1289000,170,14.069378057716214
79,Kia Stinger 2.0 AT,2018,I,36000,1,2.0 4WD AT,2.0,0,Автомат,Полный,Хэтчбек,Серебряный,другое,нет оценки,2,5,2,Автозаводская:6–10 мин.;ЗИЛ:21–30 мин.;Дубровка:21–30 мин.,Оригинал,2400000,255,14.690979711984752
80,Mercedes-Benz C-класс 1.6 AT,2016,W205/S205/C205/A205,136516,2,C 180 1.6 9G-Tronic,1.6,0,Автомат,Задний,Седан,Белый,Возможен,выше,2,4,2,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,Другое,1949000,150,14.4828274915732
81,Kia Sportage 2.0 MT,2006,I,170000,3,2.0 4WD MT,2.0,0,Механика,Полный,Внедорожник,Чёрный,Не интересует,ниже,3,5,2,Славянский бульвар:6–10 мин.;Пионерская:16–20 мин.;Кунцевская:21–30 мин.,Оригинал,315000,128,12.660331092405904
82,Kia Ceed 1.6 AT,2011,ED рестайлинг,173248,3,1.6 AT,1.6,0,Автомат,Передний,Универсал,Белый,другое,выше,3,2,2,Семёновская:до 5 мин.;Электрозаводская:6–10 мин.;Преображенская площадь:11–15 мин.,Оригинал,875000,122,13.681980308196241
83,Nissan X-Trail 2.0 CVT,2019,III,44200,3,2.0 4WD CVT,2.0,0,Вариатор,Полный,Внедорожник,Белый,Не интересует,выше,3,6,2,Крылатское:11–15 мин.;Молодёжная:от 31 мин.;Строгино:от 31 мин.,Оригинал,2650000,144,14.790070575320824
84,Volkswagen Polo 1.6 AT,2011,V,180368,3,1.6 MPI AT,1.6,0,Автомат,Передний,Седан,Белый,Не интересует,выше,3,12,1,Лианозово:6–10 мин.;Физтех:21–30 мин.;Яхромская:от 31 мин.,Оригинал,780000,105,13.567050480716235
85,Toyota RAV4 2.0 CVT,2023,V,38,1,2.0 4WD CVT,2.0,0,Вариатор,Полный,Внедорожник,Белый,Не интересует,нет оценки,2,5,2,Планерная:до 5 мин.;Сходненская:11–15 мин.;Беломорская:от 31 мин.,Электронный,4760000,149,15.375758436291616
86,Nissan Qashqai+2 2.0 CVT,2012,I рестайлинг,152000,2,2.0 4WD CVT,2.0,0,Вариатор,Полный,Внедорожник,Коричневый,другое,выше,2,18,1,Охотный ряд:до 5 мин.;Театральная:до 5 мин.;Площадь революции:до 5 мин.,Оригинал,1195000,141,13.993657580167483
87,Audi A8 6.0 AT,2008,D3 рестайлинг 2,172000,4+,6.0 W12 quattro Tiptronic,6.0,0,Автомат,Полный,Седан,Серый,Не интересует,соответствует,8,4,7,Медведково:6–10 мин.;Бабушкинская:от 31 мин.;Бибирево:от 31 мин.,Дубликат,1150000,450,13.955273369904273
88,ГАЗ ГАЗель 3302 2.4 MT,1997,I,200000,3,2.4 MT,2.4,0,Механика,Задний,Van,Серый,Не интересует,нет оценки,3,5,1,Нагатинский затон:до 5 мин.;Кленовый бульвар:21–30 мин.;Печатники:от 31 мин.,Оригинал,215000,100,12.278397958261774
89,Hyundai Elantra 1.5 CVT,2023,VII,10,1,1.5 CVT,1.5,0,Вариатор,Передний,Седан,Белый,другое,нет оценки,2,5,2,Рассказовка:11–15 мин.;Новопеределкино:11–15 мин.;Боровское шоссе:от 31 мин.,Электронный,1750000,115,14.375126917328105
90,Mercedes-Benz S-класс 5.0 AT,1995,W140 рестайлинг,287542,4+,S 500 5.0 AT,5.0,0,Автомат,Задний,Седан,Чёрный,Не интересует,ниже,4,5,7,Бабушкинская:от 31 мин.;Свиблово:от 31 мин.;Медведково:от 31 мин.,Оригинал,450000,320,13.017005083966257
91,Kia Cerato 1.6 AT,2014,III,122878,3,1.6 AT,1.6,0,Автомат,Передний,Седан,Красный,Возможен,ниже,3,6,7,Рассказовка:11–15 мин.;Новопеределкино:11–15 мин.;Боровское шоссе:от 31 мин.,Другое,880000,130,13.68767832281738
92,Citroen C4 1.6 AT,2015,II,200000,1,1.6 AT,1.6,0,Автомат,Передний,Седан,Коричневый,Не интересует,выше,1,19,2,Кунцевская:до 5 мин.;Пионерская:21–30 мин.;Давыдково:21–30 мин.,Оригинал,785000,120,13.573440270649085
93,Volkswagen Multivan 2.0 AMT,2010,T5 рестайлинг,176000,2,2.0 TDI 4Motion AMT,2.0,1,Робот,Полный,Minivan,Коричневый,Возможен,выше,2,9,2,Лианозово:до 5 мин.;Яхромская:21–30 мин.;Физтех:от 31 мин.,Другое,2059000,180,14.537731471682466
