,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
0,Kia K900 3.3 AT,2019,II,91037,8.0,2,3.3 4WD AT,3.3,Бензин,Автомат,Полный,Седан,Чёрный,Левый,Возможен,соответствует,1,2,4,1,Другое,2999000,249
1,Mercedes-Benz V-класс 2.1 AT,2017,W447,95250,19.0,2,V 250 d 2.1 4MATIC AT L3,2.1,Дизель,Автомат,Полный,Minivan,Чёрный,Левый,Не интересует,соответствует,0,2,19,2,Оригинал,5650000,190
2,Opel Astra GTC 1.4 AT,2013,J рестайлинг,113000,6.0,2,1.4 Turbo AT,1.4,Бензин,Автомат,Передний,Хэтчбек,Красный,Левый,Возможен,ниже,1,2,5,3,Другое,699000,140
3,Volkswagen Tiguan 2.0 AT,2015,I рестайлинг,165000,9.0,2,2.0 TDI 4Motion AT,2.0,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Возможен,ниже,0,2,5,1,Другое,1195000,140
4,Ford Kuga 1.5 AT,2018,II рестайлинг,103000,16.0,1,1.5 EcoBoost 4WD AT,1.5,Бензин,Автомат,Полный,Внедорожник,Белый,Левый,другое,соответствует,0,1,10,1,Оригинал,1780000,150
5,Kia Ceed 1.6 AT,2015,JD рестайлинг,63000,12.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Синий,Левый,Возможен,ниже,0,2,1,2,Другое,935000,130
6,Kia Sportage 2.0 AT,2012,III,155000,7.0,1,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Внедорожник,Серебряный,Левый,Возможен,ниже,0,2,1,2,Другое,1065000,150
7,Kia Quoris 3.8 AT,2016,I рестайлинг 2,134000,23.0,2,3.8 AT,3.8,Бензин,Автомат,Задний,Седан,Коричневый,Левый,Возможен,ниже,0,2,13,3,Другое,1499000,334
8,Hyundai ix35 2.0 AT,2010,I,214973,12.0,3,2.0 AT,2.0,Бензин,Автомат,Передний,Внедорожник,Белый,Левый,Не интересует,выше,1,3,2,4,Оригинал,1170000,150
9,Citroen C4 1.6 AT,2011,II,136300,6.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Коричневый,Левый,Не интересует,выше,0,2,1,2,Другое,755000,120
10,Kia Rio 1.6 AT,2017,IV,102000,5.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Возможен,ниже,1,1,5,2,Другое,1055000,123
11,Volkswagen Tiguan 1.4 AMT,2019,II,38000,3.0,1,1.4 TSI DSG,1.4,Бензин,Робот,Передний,Внедорожник,Коричневый,Левый,Не интересует,выше,1,1,2,1,Электронный,2790000,150
12,Lexus LX 5.7 AT,2012,J200 рестайлинг,210000,13.0,3,LX 570 5.7 4WD AT,5.7,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,2,12,2,Оригинал,4390000,367
13,Iveco Daily 3.0 MT,2017,VI,200000,5.0,2,3.0 D MT,3.0,Дизель,Механика,Задний,Van,Белый,Левый,Не интересует,выше,0,2,5,3,Оригинал,3600000,146
14,MINI Cooper S 2.0 AT,2014,III,110000,43.0,4+,2.0 AT,2.0,Бензин,Автомат,Передний,Хэтчбек,Синий,Левый,Возможен,выше,0,4,41,4,Оригинал,1750000,192
15,Toyota Land Cruiser Prado 3.0 AT,2015,150 рестайлинг,140000,29.0,1,3.0 D AT,3.0,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Возможен,соответствует,1,1,27,1,Другое,3099000,173
16,Hyundai Grand Starex 2.5 AT,2011,I,170000,3.0,4+,2.5 CRDi AT,2.5,Дизель,Автомат,Задний,Minivan,Чёрный,Левый,Возможен,выше,1,4,5,2,Другое,1620000,145
17,Nissan X-Trail 1.5 CVT,2021,IV,12409,11.267396907216495,1,1.5 4WD CVT,1.5,Бензин,Вариатор,Полный,Внедорожник,Серый,Левый,другое,нет оценки,0,2,5,2,Другое,3450000,204
18,Mercedes-Benz M-класс 3.0 AT,2011,W164 рестайлинг,184000,52.0,4+,ML 300d 3.0 4MATIC 7G-Tronic,3.0,Дизель,Автомат,Полный,Внедорожник,Серый,Левый,Возможен,соответствует,0,4,47,7,Оригинал,1450000,190
19,LiXiang L9 1.5 AT,2024,I рестайлинг,1,11.267396907216495,1,1.5hyb 4WD AT,1.5,другое,Автомат,Полный,Внедорожник,Чёрный,Левый,другое,нет оценки,0,2,5,2,Оригинал,8510000,449
20,Mercedes-Benz GL-класс 3.0 AT,2013,X166,191000,12.0,3,GL 350d 3.0 4MATIC 7G-Tronic,3.0,Дизель,Автомат,Полный,Внедорожник,Коричневый,Левый,Не интересует,выше,0,3,2,3,Оригинал,3245000,249
21,Land Rover Discovery 3.0 AT,2017,V,102000,5.0,1,3.0 TD AT,3.0,Дизель,Автомат,Полный,Внедорожник,Серый,Левый,Возможен,нет оценки,1,1,5,2,Оригинал,3700000,258
22,Kia Rio 1.6 AT,2016,III рестайлинг,73175,6.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Серебряный,Левый,другое,ниже,1,1,5,1,Другое,1050000,123
23,Infiniti FX37 3.7 AT,2011,II,285994,12.0,3,3.7 4WD AT,3.7,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,выше,0,2,5,2,Оригинал,1975000,333
24,BMW X6 3.0 AT,2020,G06,36500,4.0,1,40d 3.0 Steptronic,3.0,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Не интересует,выше,0,1,7,2,Оригинал,10500000,340
25,Nissan Murano 3.5 CVT,2013,Z51 рестайлинг 2,187000,11.0,4+,3.5 4WD CVT,3.5,Бензин,Вариатор,Полный,Внедорожник,Серый,Левый,Не интересует,соответствует,0,6,5,3,Дубликат,1420000,249
26,Volkswagen Touran 1.4 AMT,2012,II,129000,22.0,2,1.4 TSI DSG,1.4,Бензин,Робот,Передний,Minivan,Коричневый,Левый,Возможен,ниже,0,2,14,3,Другое,899000,140
27,Kia Sportage 2.0 AT,2016,IV,84452,9.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Внедорожник,Белый,Левый,другое,ниже,1,1,1,1,Оригинал,1250000,150
28,Lexus LX 4.5 AT,2016,J200 рестайлинг 2,158430,35.0,2,LX 450d 4.5 4WD AT Arctic Trucks,4.5,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,Возможен,нет оценки,0,2,35,1,Другое,6195000,272
29,BMW 5 серия 2.0 AT,2022,G30/G31 рестайлинг,8700,2.0,1,530i 2.0 xDrive Steptronic,2.0,Бензин,Автомат,Полный,Седан,Чёрный,Левый,Не интересует,нет оценки,1,2,5,2,Электронный,6700000,249
30,BMW X3 2.0 AT,2019,G01,68870,5.0,1,30i 2.0 sDrive Steptronic,2.0,Бензин,Автомат,Задний,Внедорожник,Белый,Левый,Не интересует,ниже,1,2,5,3,Электронный,3000000,252
31,Mazda CX-5 2.5 AT,2013,I,93000,5.0,1,2.5 4WD AT,2.5,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,ниже,0,1,5,1,Другое,1249000,192
32,Land Rover Range Rover 4.4 AT,2005,III,218300,12.0,4+,4.4 AT,4.4,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,5,1,2,Оригинал,1270000,286
33,Mazda 6 2.0 AT,2014,GJ,144629,11.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Белый,Левый,Возможен,нет оценки,1,1,11,2,Другое,1199000,145
34,Ford Focus 2.0 AT,2010,II рестайлинг,158411,16.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Белый,Левый,Возможен,соответствует,0,1,15,2,Другое,599000,145
35,Peugeot 3008 1.6 AT,2014,I рестайлинг,128000,6.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Внедорожник,Белый,Левый,Возможен,соответствует,0,2,5,1,Другое,889000,150
36,BMW 3 серия 2.0 AT,2018,F30/F31 рестайлинг,97124,19.0,2,330i 2.0 xDrive Steptronic,2.0,Бензин,Автомат,Полный,Седан,Синий,Левый,Возможен,ниже,1,2,14,2,Другое,2049000,249
37,Mercedes-Benz E-класс 3.5 AT,2012,W212/S212/C207/A207,159000,43.0,2,E 350 3.5 4MATIC 7G-Tronic,3.5,Бензин,Автомат,Полный,Седан,Коричневый,Левый,Возможен,соответствует,1,2,34,3,Другое,1449000,306
38,Volkswagen Multivan 2.5 AT,2008,T5,189500,6.0,3,2.5 TDI AT,2.5,Дизель,Автомат,Передний,Minivan,Серый,Левый,Не интересует,выше,0,2,5,2,Оригинал,1690000,131
39,Mercedes-Benz R-класс 3.5 AT,2010,W251 рестайлинг 2,248996,12.0,4+,R 350 3.5 4MATIC 7G-Tronic,3.5,Бензин,Автомат,Полный,Minivan,Синий,Левый,Не интересует,выше,1,5,8,2,Оригинал,1490000,272
40,Daewoo Matiz 1.0 MT,2008,I рестайлинг,158000,11.267396907216495,2,1.0 MT,1.0,Бензин,Механика,Передний,Хэтчбек,Зелёный,Левый,Не интересует,соответствует,1,2,5,2,Оригинал,212000,64
41,УАЗ Patriot 2.7 MT,2011,I,105000,14.0,3,2.7 MT,2.7,Бензин,Механика,Полный,Внедорожник,Зелёный,Левый,Не интересует,соответствует,1,3,8,2,Оригинал,530000,128
42,Mercedes-Benz SLC-класс 2.0 AT,2019,R172,86000,11.267396907216495,1,SLC 300 2.0 9G-TRONIC,2.0,Бензин,Автомат,Задний,Кабриолет,Другой,Левый,Возможен,нет оценки,0,2,5,2,Электронный,3500000,245
43,Volkswagen Polo 1.6 AT,2019,V рестайлинг,136000,3.0,1,1.6 MPI AT,1.6,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Возможен,ниже,1,1,1,1,Другое,1065000,110
44,Kia Optima 2.4 AT,2019,IV рестайлинг,69000,3.0,1,2.4 GDI AT,2.4,Бензин,Автомат,Передний,Седан,Белый,Левый,Не интересует,ниже,1,1,5,2,Оригинал,1350000,188
45,LiXiang L7 1.5 AT,2023,I,1,11.267396907216495,1,1.5hyb 4WD AT,1.5,другое,Автомат,Полный,Внедорожник,Серый,Левый,другое,выше,1,1,5,2,Оригинал,6590000,449
46,Toyota Corolla 1.6 CVT,2019,XII,95550,2.0,2,1.6 CVT,1.6,Бензин,Вариатор,Передний,Седан,Чёрный,Левый,Возможен,выше,0,2,5,2,Оригинал,1920000,122
47,Hyundai Santa Fe 2.2 AT,2019,IV,64000,14.0,2,2.2 CRDi 4WD AT,2.2,Дизель,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,ниже,1,2,15,3,Другое,2649000,200
48,BMW 3 серия 2.0 AT,2013,F30/F31,133241,3.0,2,320i 2.0 AT,2.0,Бензин,Автомат,Задний,Седан,Белый,Левый,Возможен,ниже,1,2,5,2,Другое,1349000,184
49,Skywell ET5 AT,2022,I,22000,3.0,2,0.0 AT,2.1412811387900357,другое,Автомат,Передний,Внедорожник,Серый,Левый,Не интересует,ниже,1,2,5,1,Электронный,2630000,204
50,Volkswagen Passat 1.5 AMT,2019,B8,160000,11.267396907216495,1,1.5 TSI DSG,1.5,Бензин,Робот,Передний,Универсал,Чёрный,Левый,Не интересует,нет оценки,1,2,5,1,Другое,2050000,150
51,BMW X6 3.0 AT,2017,F16,102085,2.0,1,M50d 3.0 Steptronic,3.0,Дизель,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,ниже,1,1,5,2,Другое,3799000,381
52,Audi Q5 2.0 AMT,2014,I рестайлинг,120000,17.0,1,2.0 TDI quattro S tronic,2.0,Дизель,Робот,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,1,2,18,2,Оригинал,2400000,177
53,Volkswagen Jetta 1.4 AT,2018,VII,85000,2.0,1,1.4 TSI AT,1.4,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Не интересует,выше,1,1,5,2,Электронный,2300000,147
54,Volkswagen Polo 1.6 AT,2016,V рестайлинг,91426,10.0,2,1.6 MPI AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,другое,ниже,1,2,1,6,Оригинал,749000,110
55,Mazda CX-7 2.3 AT,2012,I рестайлинг,142000,6.0,1,2.3 4WD AT,2.3,Бензин,Автомат,Полный,Внедорожник,Белый,Левый,другое,ниже,1,1,5,2,Оригинал,799000,238
56,Porsche Boxster 2.7 AMT,2015,981,83500,2.0,1,2.7 PDK,2.7,Бензин,Робот,Задний,Кабриолет,Чёрный,Левый,Не интересует,нет оценки,1,2,5,1,Другое,4150000,265
57,Kia Sportage 2.0 AT,2013,III,140200,11.0,1,2.0 CRDi 4WD AT,2.0,Дизель,Автомат,Полный,Внедорожник,Белый,Левый,другое,ниже,1,1,11,2,Оригинал,1039000,136
58,Volkswagen Passat 1.8 AMT,2013,B7,157000,4.0,3,1.8 TSI DSG (152 л.с),1.8,Бензин,Робот,Передний,Седан,Коричневый,Левый,другое,соответствует,1,3,2,2,Оригинал,1150000,168
59,Mercedes-Benz S-класс 5.0 AT,1996,W140 рестайлинг,400000,8.0,3,S 500 5.0 AT,5.0,Бензин,Автомат,Задний,Седан,Красный,Левый,Возможен,соответствует,1,2,5,3,Дубликат,750000,320
60,Hyundai Sonata 2.0 AT,2018,VII рестайлинг,288888,8.0,1,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Белый,Левый,Не интересует,нет оценки,0,2,1,2,Оригинал,655000,150
61,Nissan Maxima 3.0 AT,2001,A33,217357,4.0,2,3.0 AT,3.0,Бензин,Автомат,Передний,Седан,Серебряный,Левый,Возможен,соответствует,0,2,5,2,Другое,449000,200
62,Mercedes-Benz C-класс 1.8 AT,2012,W204/S204/С204 рестайлинг,176000,16.0,4+,C 180 1.8 7G-Tronic,1.8,Бензин,Автомат,Задний,Седан,Белый,Левый,Возможен,соответствует,0,4,2,5,Другое,1195000,156
63,Volkswagen Caravelle 1.9 MT,2007,T5,189325,4.0,2,1.9 TDI MT,1.9,Дизель,Механика,Передний,Minivan,Белый,Левый,Не интересует,выше,1,2,5,2,Оригинал,1590000,105
64,Nissan Qashqai 2.0 CVT,2012,I рестайлинг,147476,10.0,2,2.0 4WD CVT,2.0,Бензин,Вариатор,Полный,Внедорожник,Белый,Левый,Возможен,ниже,0,2,5,2,Другое,989000,141
65,Volvo XC70 2.0 AT,2011,II,204200,7.0,3,2.0 D3 AT,2.0,Дизель,Автомат,Передний,Универсал,Синий,Левый,Возможен,выше,1,3,5,1,Оригинал,1725000,163
66,Audi A3 1.4 AMT,2018,8V рестайлинг,123300,20.0,1,35 TFSI 1.4 S tronic,1.4,Бензин,Робот,Передний,Седан,Белый,Левый,Не интересует,выше,0,2,21,1,Оригинал,1750000,150
67,Land Rover Range Rover 4.4 AT,2014,IV,119354,15.0,1,4.4 TD AT,4.4,Дизель,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,выше,1,1,12,1,Другое,3999000,339
68,Nissan X-Trail 2.5 CVT,2019,III рестайлинг,150000,20.0,1,2.5 4WD CVT,2.5,Бензин,Вариатор,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,1,30,2,Оригинал,2459000,171
69,Dodge Caravan 2.4 AT,2002,IV,340000,4.0,4+,2.4 AT,2.4,Бензин,Автомат,Передний,Minivan,Белый,Левый,Не интересует,выше,0,4,1,2,Оригинал,350000,150
70,Skoda Octavia 1.6 AT,2018,III рестайлинг,156000,26.0,2,1.6 MPI AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Серый,Левый,другое,ниже,1,2,12,6,Оригинал,1140000,110
71,Kia K5 2.5 AT,2021,III,58130,7.0,1,2.5 GDI AT,2.5,Бензин,Автомат,Передний,Седан,Синий,Левый,Возможен,ниже,1,1,4,1,Другое,2450000,194
72,Audi Q7 4.2 AT,2007,4L,229000,17.0,3,4.2 FSI quattro Tiptronic,4.2,Бензин,Автомат,Полный,Внедорожник,Серый,Левый,Не интересует,выше,0,2,5,8,Дубликат,1100000,350
73,Honda Accord 1.5 CVT,2018,X,84000,11.267396907216495,1,1.5 CVT,1.5,Бензин,Вариатор,Передний,Седан,Красный,Левый,Не интересует,нет оценки,1,2,5,2,Электронный,2049000,192
74,BMW X5 3.0 AT,2019,G05,70000,11.267396907216495,1,40i 3.0 xDrive Steptronic,3.0,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,нет оценки,1,2,5,2,Электронный,6450000,340
75,Kia Carens 2.0 AT,2009,II,205000,12.0,4+,2.0 AT,2.0,Бензин,Автомат,Передний,Minivan,Коричневый,Левый,Не интересует,выше,1,5,1,3,Оригинал,815000,145
76,Kia Optima 2.4 AT,2013,III,162000,10.0,3,2.4 AT,2.4,Бензин,Автомат,Передний,Седан,Белый,Левый,Возможен,соответствует,0,3,2,3,Другое,1295000,180
77,Skoda Octavia 1.8 AMT,2017,III,134000,11.0,1,1.8 TSI DSG,1.8,Бензин,Робот,Передний,Хэтчбек,Серый,Левый,другое,ниже,1,1,9,2,Оригинал,1049000,180
78,Volkswagen Tiguan 2.0 AT,2014,I рестайлинг,120561,7.0,1,2.0 TSI 4Motion AT,2.0,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,соответствует,1,1,5,2,Другое,1289000,170
79,Kia Stinger 2.0 AT,2018,I,36000,11.267396907216495,1,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Хэтчбек,Серебряный,Левый,другое,нет оценки,0,2,5,2,Оригинал,2400000,255
80,Mercedes-Benz C-класс 1.6 AT,2016,W205/S205/C205/A205,136516,14.0,2,C 180 1.6 9G-Tronic,1.6,Бензин,Автомат,Задний,Седан,Белый,Левый,Возможен,выше,0,2,4,2,Другое,1949000,150
81,Kia Sportage 2.0 MT,2006,I,170000,4.0,3,2.0 4WD MT,2.0,Бензин,Механика,Полный,Внедорожник,Чёрный,Левый,Не интересует,ниже,0,3,5,2,Оригинал,315000,128
82,Kia Ceed 1.6 AT,2011,ED рестайлинг,173248,8.0,3,1.6 AT,1.6,Бензин,Автомат,Передний,Универсал,Белый,Левый,другое,выше,1,3,2,2,Оригинал,875000,122
83,Nissan X-Trail 2.0 CVT,2019,III,44200,12.0,3,2.0 4WD CVT,2.0,Бензин,Вариатор,Полный,Внедорожник,Белый,Левый,Не интересует,выше,1,3,6,2,Оригинал,2650000,144
84,Volkswagen Polo 1.6 AT,2011,V,180368,18.0,3,1.6 MPI AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,Не интересует,выше,0,3,12,1,Оригинал,780000,105
85,Toyota RAV4 2.0 CVT,2023,V,38,11.267396907216495,1,2.0 4WD CVT,2.0,Бензин,Вариатор,Полный,Внедорожник,Белый,Левый,Не интересует,нет оценки,0,2,5,2,Электронный,4760000,149
86,Nissan Qashqai+2 2.0 CVT,2012,I рестайлинг,152000,22.0,2,2.0 4WD CVT,2.0,Бензин,Вариатор,Полный,Внедорожник,Коричневый,Левый,другое,выше,0,2,18,1,Оригинал,1195000,141
87,Audi A8 6.0 AT,2008,D3 рестайлинг 2,172000,26.0,4+,6.0 W12 quattro Tiptronic,6.0,Бензин,Автомат,Полный,Седан,Серый,Левый,Не интересует,соответствует,0,8,4,7,Дубликат,1150000,450
88,ГАЗ ГАЗель 3302 2.4 MT,1997,I,200000,11.267396907216495,3,2.4 MT,2.4,Бензин,Механика,Задний,Van,Серый,Левый,Не интересует,нет оценки,1,3,5,1,Оригинал,215000,100
89,Hyundai Elantra 1.5 CVT,2023,VII,10,11.267396907216495,1,1.5 CVT,1.5,Бензин,Вариатор,Передний,Седан,Белый,Левый,другое,нет оценки,0,2,5,2,Электронный,1750000,115
90,Mercedes-Benz S-класс 5.0 AT,1995,W140 рестайлинг,287542,8.0,4+,S 500 5.0 AT,5.0,Бензин,Автомат,Задний,Седан,Чёрный,Левый,Не интересует,ниже,1,4,5,7,Оригинал,450000,320
91,Kia Cerato 1.6 AT,2014,III,122878,19.0,3,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Красный,Левый,Возможен,ниже,1,3,6,7,Другое,880000,130
92,Citroen C4 1.6 AT,2015,II,200000,18.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Коричневый,Левый,Не интересует,выше,1,1,19,2,Оригинал,785000,120
93,Volkswagen Multivan 2.0 AMT,2010,T5 рестайлинг,176000,20.0,2,2.0 TDI 4Motion AMT,2.0,Дизель,Робот,Полный,Minivan,Коричневый,Левый,Возможен,выше,1,2,9,2,Другое,2059000,180
94,Renault Logan 1.6 MT,2014,II,162381,3.0,1,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Бежевый,Левый,Не интересует,соответствует,1,1,5,2,Оригинал,660000,82
95,ГАЗ ГАЗель Next 2.7 MT,2017,III,212868,3.0,1,2.7 MT,2.7,Бензин,Механика,Задний,Van,Белый,Левый,Не интересует,выше,0,2,5,2,Оригинал,1900000,107
96,Lexus IS 2.5 AT,2008,II рестайлинг,174000,4.0,1,IS 250 2.5 4WD AT,2.5,Бензин,Автомат,Полный,Седан,Чёрный,Левый,Возможен,ниже,1,2,5,1,Другое,1135000,204
97,Kia Rio 1.6 AT,2017,IV,150000,12.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,Возможен,нет оценки,0,1,5,1,Оригинал,850000,123
98,Skoda Octavia 1.4 MT,2012,II рестайлинг,170000,15.0,4+,1.4 MPI MT,1.4,Бензин,Механика,Передний,Хэтчбек,Серебряный,Левый,Не интересует,соответствует,0,5,5,3,Оригинал,530000,80
99,Renault Logan 1.6 MT,2012,I рестайлинг,142000,4.0,2,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Чёрный,Левый,Не интересует,соответствует,1,2,5,2,Оригинал,530000,84
100,Lexus UX 2.0 CVT,2019,I,77000,11.267396907216495,1,UX 250h 2.0 4WD CVT,2.0,другое,Вариатор,Полный,Внедорожник,Серый,Левый,Не интересует,нет оценки,1,2,5,2,Электронный,2890000,178
101,Mazda 3 1.5 AT,2014,BM,118349,26.0,2,1.5 AT,1.5,Бензин,Автомат,Передний,Хэтчбек,Серый,Левый,Возможен,соответствует,0,2,10,4,Другое,1049000,120
102,Hyundai i30 1.6 AT,2015,II рестайлинг,164000,11.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Другой,Левый,другое,выше,1,2,9,2,Оригинал,1300000,130
103,Ford Fiesta 1.4 MT,2008,Mk6,171287,10.0,4+,1.4 MT,1.4,Бензин,Механика,Передний,Хэтчбек,Другой,Левый,Не интересует,выше,1,8,5,2,Дубликат,550000,96
104,Hyundai Grand Starex 2.5 AT,2013,I,163746,19.0,2,2.5 CRDi AT,2.5,Дизель,Автомат,Задний,Minivan,Чёрный,Левый,другое,выше,0,2,7,4,Оригинал,2299000,145
105,Subaru Legacy 2.5 AT,1997,BD/BG/BK,443000,9.0,4+,2.5 4WD AT,2.5,Бензин,Автомат,Полный,Универсал,Зелёный,Левый,Не интересует,соответствует,1,5,1,2,Оригинал,200000,150
106,ВАЗ (LADA) 2114 Samara 1.6 MT,2007,I,162600,11.267396907216495,4+,1.6 MT,1.6,Бензин,Механика,Передний,Хэтчбек,Серебряный,Левый,Не интересует,выше,0,5,5,1,Оригинал,220000,81
107,Geely Coolray 1.5 AMT,2024,I рестайлинг,45,11.267396907216495,1,1.5 AMT,1.5,Бензин,Робот,Передний,Внедорожник,Серый,Левый,Не интересует,нет оценки,0,2,5,2,Электронный,2300000,181
108,Mazda 3 1.6 AT,2006,BK рестайлинг,205500,16.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Не интересует,соответствует,0,2,7,2,Оригинал,595000,105
109,JAECOO J7 1.6 AMT,2023,I,14,11.267396907216495,1,1.6 TGDI 4WD DCT,1.6,Бензин,Робот,Полный,Внедорожник,Чёрный,Левый,Возможен,нет оценки,0,2,5,2,Другое,2579000,186
110,Nissan X-Trail 2.0 AT,2012,II рестайлинг,151100,26.0,3,2.0 dCi 4WD AT,2.0,Дизель,Автомат,Полный,Внедорожник,Серый,Левый,Возможен,соответствует,1,3,20,2,Другое,1159000,150
111,Chevrolet Cruze 1.6 MT,2014,I рестайлинг,202689,11.267396907216495,2,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Белый,Левый,другое,ниже,0,2,5,2,Оригинал,590000,109
112,Kia Sportage 2.0 AT,2011,III,188000,10.0,3,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Возможен,выше,1,3,1,3,Оригинал,1495000,150
113,Chevrolet Lacetti 1.6 MT,2008,I,386000,8.0,2,1.6 MT,1.6,Бензин,Механика,Передний,Универсал,Чёрный,Левый,Не интересует,соответствует,0,2,5,1,Оригинал,350000,109
114,Mitsubishi Lancer 1.8 CVT,2008,X,167000,7.0,3,1.8 CVT,1.8,Бензин,Вариатор,Передний,Седан,Чёрный,Левый,Не интересует,выше,1,3,5,2,Оригинал,730000,143
115,Mazda 3 1.6 AT,2006,BK рестайлинг,180300,15.0,4+,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Возможен,соответствует,1,5,5,4,Другое,549000,105
116,Nissan Primera 1.6 MT,1997,P11,510000,7.0,4+,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Серебряный,Левый,Не интересует,выше,1,5,5,2,Дубликат,260000,99
117,Mercedes-Benz GL-класс 3.0 AT,2013,X166,147200,6.0,1,GL 350d 3.0 4MATIC 7G-Tronic,3.0,Дизель,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,1,2,5,1,Оригинал,3475000,258
118,BMW X3 3.0 AT,2022,G01 рестайлинг,1140,2.0,1,M40i 3.0 xDrive Steptronic,3.0,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,нет оценки,1,2,5,2,Электронный,7300000,387
119,BMW 5 серия 3.0 AT,2011,F10/F11,150000,64.0,1,528i 3.0 AT,3.0,Бензин,Автомат,Задний,Седан,Серый,Левый,Не интересует,ниже,0,2,86,8,Дубликат,1100000,258
120,Audi A6 3.0 AT,2009,C6 рестайлинг,278000,12.0,3,3.0 TDI quattro Tiptronic,3.0,Дизель,Автомат,Полный,Седан,Серый,Левый,Не интересует,выше,1,2,2,3,Оригинал,1650000,239
121,BMW X3 M 3.0 AT,2019,F97,55000,3.0,1,3.0 xDrive Steptronic,3.0,Бензин,Автомат,Полный,Внедорожник,Белый,Левый,Не интересует,нет оценки,1,2,5,1,Электронный,5750000,510
122,Suzuki Grand Vitara 2.0 MT,2013,II рестайлинг 2,89444,7.0,1,2.0 4WD MT,2.0,Бензин,Механика,Полный,Внедорожник,Бежевый,Левый,Не интересует,соответствует,1,1,2,2,Оригинал,1550000,140
123,BMW X3 2.0 AT,2019,G01,49000,3.0,1,20d 2.0 xDrive Steptronic,2.0,Дизель,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,соответствует,1,1,2,1,Оригинал,4215000,190
124,Volkswagen Passat 2.0 AMT,2020,B8 рестайлинг,60000,11.267396907216495,1,2.0 TSI DSG,2.0,Бензин,Робот,Передний,Седан,Белый,Левый,Не интересует,нет оценки,1,2,5,2,Электронный,3240000,190
125,Nissan Qashqai 2.0 CVT,2018,II рестайлинг,79700,12.0,2,2.0 4WD CVT,2.0,Бензин,Вариатор,Полный,Внедорожник,Красный,Левый,Не интересует,выше,0,2,13,2,Оригинал,2300000,144
126,Hyundai i40 2.0 AT,2013,I,139000,16.0,3,2.0 GDI AT,2.0,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Возможен,соответствует,0,3,7,3,Другое,1149000,178
