,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
957,Lincoln Navigator 5.4 AT,2005,II,213000,7.0,3,5.4 4WD AT,5.4,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,ниже,0,2,1,1,Оригинал,670000,304
958,BMW 7 серия 4.4 AT,2011,F01/F02,281500,12.0,3,750i 4.4 xDrive AT,4.4,Бензин,Автомат,Полный,Седан,Чёрный,Левый,Возможен,выше,1,3,2,5,Оригинал,1320000,407
959,Mercedes-Benz S-класс 2.9 AT,2020,W222/C217/A217 рестайлинг,77000,14.0,1,S 350d L 2.9 4MATIC 9G-Tronic,2.9,Дизель,Автомат,Полный,Седан,Чёрный,Левый,Не интересует,выше,1,2,13,2,Оригинал,7399000,249
960,BMW X4 3.0 AT,2022,G02 рестайлинг,57869,2.0,1,30d 3.0 xDrive Steptronic,3.0,Дизель,Автомат,Полный,Внедорожник,Коричневый,Левый,Возможен,нет оценки,1,2,5,1,Электронный,6395000,286
961,Mazda 3 1.6 MT,2006,BK рестайлинг,302500,12.0,4+,1.6 MT,1.6,Бензин,Механика,Передний,Хэтчбек,Серебряный,Левый,другое,соответствует,0,5,1,4,Оригинал,410000,105
962,Mazda 3 2.0 AT,2008,BK рестайлинг,168184,8.0,4+,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Красный,Левый,Возможен,соответствует,1,6,2,2,Другое,674000,150
963,Nissan Almera 1.5 MT,2005,N16 рестайлинг,270000,10.0,4+,1.5 MT,1.5,Бензин,Механика,Передний,Хэтчбек,Серый,Левый,Не интересует,выше,1,6,5,1,Дубликат,330000,98
964,Ford Focus 1.6 MT,2011,III,378966,16.0,4+,1.6 MT,1.6,Бензин,Механика,Передний,Хэтчбек,Чёрный,Левый,Не интересует,ниже,0,4,2,6,Оригинал,475000,105
965,Kia Optima 2.4 AT,2018,IV рестайлинг,162600,11.267396907216495,2,2.4 GDI AT,2.4,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Не интересует,соответствует,0,2,5,1,Оригинал,2075000,188
966,Skoda Fabia 1.6 AT,2013,II рестайлинг,140915,15.0,3,1.6 AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Белый,Левый,другое,выше,0,3,12,5,Другое,779000,105
967,Kia Sorento 2.5 AT,2004,I,198750,9.0,3,2.5 CRDi 4WD AT,2.5,Дизель,Автомат,Полный,Внедорожник,Серый,Левый,Не интересует,выше,0,2,5,4,Оригинал,572000,140
968,Mitsubishi Lancer 2.0 MT,2005,IX,250000,8.0,4+,2.0 MT,2.0,Бензин,Механика,Передний,Седан,Белый,Левый,Не интересует,выше,0,6,5,7,Дубликат,600000,135
969,Nissan X-Trail 2.0 AT,2002,I,230000,13.0,4+,2.0 4WD AT,2.0,Бензин,Автомат,Полный,Внедорожник,Коричневый,Левый,Не интересует,выше,0,8,3,4,Оригинал,660000,140
970,BMW 3 серия 2.0 AT,2018,F30/F31 рестайлинг,42600,10.0,1,320i 2.0 Steptronic,2.0,Бензин,Автомат,Задний,Седан,Синий,Левый,Не интересует,выше,1,1,8,3,Оригинал,2750000,184
971,Renault Duster 2.0 AT,2013,I,159000,14.0,2,2.0 AT,2.0,Бензин,Автомат,Передний,Внедорожник,Коричневый,Левый,Не интересует,выше,0,2,6,2,Оригинал,1099000,135
972,Nissan X-Trail 2.5 CVT,2018,III,206161,3.0,1,2.5 4WD CVT,2.5,Бензин,Вариатор,Полный,Внедорожник,Синий,Левый,Возможен,выше,1,1,1,2,Другое,1965000,171
973,Hyundai Solaris 1.6 AT,2018,II,259000,8.0,4+,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,другое,выше,1,4,2,2,Оригинал,1120000,123
974,Hyundai Grand Starex 2.5 AT,2011,I,233000,10.0,2,2.5 CRDi AT,2.5,Дизель,Автомат,Задний,Minivan,Серый,Левый,Возможен,соответствует,1,2,2,2,Оригинал,1550000,145
